STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14,WT16
USC00047916,"SANTA CRUZ, CA US",4/15/89,0,67,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/16/89,0,56,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/17/89,0,64,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/18/89,0,72,45,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/19/89,0,71,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/20/89,0,73,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/21/89,0.13,66,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/22/89,0,65,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/23/89,0.28,63,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/24/89,0.23,49,40,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/25/89,0.08,61,44,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/26/89,0,66,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/27/89,0,69,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/28/89,0,74,43,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/29/89,0,63,44,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",4/30/89,0,67,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/1/89,0,76,44,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/2/89,0,74,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/3/89,0,79,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/4/89,0,84,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/5/89,0,80,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/6/89,0,64,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/7/89,0,67,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/8/89,0,72,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/9/89,0,63,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/10/89,0,64,46,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/11/89,0,69,43,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/12/89,0,66,46,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/13/89,0,73,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",5/14/89,0,68,47,,,,,,,,
