"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00047916","SANTA CRUZ, CA US","1969-02","0","0","20","18","0","0","0","2","0","0","0","32","0","0.0","2.95","65","2312","470","12.01","0.0","48.2","56.6","39.8"
"USC00047916","SANTA CRUZ, CA US","1969-03","1","1","7","6","0","0","0","3","0","7","0","32","0","0.0","0.51","87","2699","387","1.99","0.0","52.1","66.1","38.0"
"USC00047916","SANTA CRUZ, CA US","1969-04","1","0","7","5","0","0","0","0","0","8","0","35","0","0.0","1.63","77","3024","325","2.86","0.0","54.2","67.5","40.8"
"USC00047916","SANTA CRUZ, CA US","1969-05","2","1","1","0","0","0","0","0","0","20","0","37","0","0.0","0.08","83","3209","185","0.08","0.0","59.1","71.6","46.5"
"USC00047916","SANTA CRUZ, CA US","1969-06","7","5","2","0","0","0","0","0","0","23","0","41","0","0.0","0.02","88","3311","102","0.04","0.0","61.7","73.2","50.3"
"USC00047916","SANTA CRUZ, CA US","1969-07","10","2","0","0","0","0","0","0","0","26","0","42","0","0.0","0.00","84","90","90","0.00","0.0","62.2","73.3","51.1"
"USC00047916","SANTA CRUZ, CA US","1969-08","18","8","0","0","0","0","0","0","0","23","0","42","0","0.0","0.00","89","209","118","0.00","0.0","61.4","75.5","47.4"
"USC00047916","SANTA CRUZ, CA US","1969-09","31","13","1","0","0","0","0","0","0","19","0","43","0","0.0","0.07","89","285","77","0.07","0.0","62.9","74.7","51.0"
"USC00047916","SANTA CRUZ, CA US","1969-10","45","14","3","3","0","0","0","0","0","20","0","38","0","0.0","0.95","88","429","144","1.77","0.0","60.8","73.6","48.1"
"USC00047916","SANTA CRUZ, CA US","1969-11","45","0","4","3","0","0","0","0","0","19","0","33","0","0.0","0.91","86","679","250","1.34","0.0","56.7","71.6","41.7"
"USC00047916","SANTA CRUZ, CA US","1969-12","45","0","14","9","0","0","0","2","0","2","0","30","0","0.0","1.05","74","1082","403","6.76","0.0","51.8","61.1","42.4"
"USC00047916","SANTA CRUZ, CA US","1970-01","0","0","18","14","0","0","0","7","0","0","0","26","0","0.0","2.52","65","1496","414","13.03","0.0","51.7","59.6","43.7"
"USC00047916","SANTA CRUZ, CA US","1970-02","0","0","6","4","0","0","0","0","0","7","0","35","0","0.0","1.48","74","1806","310","3.11","0.0","53.9","66.3","41.6"
